type,TrialNo,title,content,trialText,trialTextPos,stim1,stim2,stim3,stimFormat,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,random,randomBlock,key,feedbackCorrect,feedbackIncorrect,game,stim_type,offer
instructions,na,Welcome to the study: Brand Perception in the Ultimatum Game,"<b>Please note</b>: this experiment does not allow you to go backward therefore it is crucial that you read all the instructions carefully before pressing the button to continue. <br><b><i>Introduction</b></i><br>I am an undergraduate fourth year Honours psychology student at the University of Glasgow carrying out my dissertation research. You are being invited to take part in a study about individuals perception of brands. It is important for you to understand why the research is being conducted and what it will involve. Please take time to read the following information carefully.<b><i><br><br>Purpose of the study</b></i></br>The aim of this experiment is to investigate the behavioural correlates of brands perception. To our knowledge, no other study in the past has compared the interaction between brands or people in an economic setting, nor has used the paradigm of the ultimatum game to investigate it. Therefore, the aim of the current experiment is to bridge such conceptual gap by testing whether human beings tend to interact with brands in the same way they would interact with an object or a human being. ",na,na,na,na,,na,Continue,na,na,na,na,na,na,na,na,na,na,,,,,,,,
instructions,na,Brand Perception in the Ultimatum Game,"<i><b>Participation</i></b><br>Your participation in this project is entirely voluntary. You are not obliged to take part and should you agree to participate, you can withdraw from the study at any time during the project. If you do not wish to participate you do not have to provide any explanation and you will not be contacted again. Moreover, if you agree to take part, your name and any of your personal details will not be recorded and the information collected will not be disclosed to third parties. Your answers to the tests will be used for the purpose of this study only. It is assured that your anonymity will be kept throughout the research. <i><b><br><br>Incentive</b></i><br>Whilst we really appreciate your time in taking part in this experiment, we unfortunately cannot pay you for your time. Instead, at the end you will receive a completion code that we ask you to email to the lead researcher. At no point will your email be paired with your data. We will only use the code to enter you into a draw for a £20 Amazon voucher. Please press the button below to view the consent form if you agree to participate. ",na,na,na,na,,,Continue,na,,,,,,,,,,,,,,,,,
instructions,na,Brand Perception in the Ultimatum Game,"<i><b>Please read the following statements. By clicking the button at the bottom you agree to participate in this experiment.</b></i><br>1.I understand the nature of the experiment;<br>2. I understand that my participation in this study is voluntary and  I can withdraw at any time, without having to give a reason;<br>3.I understand that my participation in this study is solely for the purposes of research, and is in no way an evaluation of me as an individual; <br>4.I consent to provide information about my age, gender and nationality; <br>5.I understand that any information recorded throughout the study will be made and kept anonymous and will remain confidential and no information that identifies me will be made publicly available; <br>6.I understand that all data obtained during the study will be protected and destroyed after use;<br><br>Please note that if you do not agree with any of these statements and do not wish to take part, please close your browser now.",na,na,na,na,,,"Yes, I give consent",,,,,,,,,,,,,,,,,,
test,na,Participant Age,na,<b>Please enter your age and press Enter to move on. <br>Type NA (and press Enter) if you prefer not to answer<br><br> Please note that this experiment is for people 16 and over only.<br>If you are younger than 16 please close the browser now</b>,na,box,,,.png,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,
test,na,Participant Sex,na,<b>Please enter your biological sex and press Enter to move on.<br>Type NA (and press Enter) if you prefer not to answer</b>,na,box,,,.png,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,
test,na,Participant Nationality,na,<b>Please enter your Nationality and press Enter to move on.<br>Type NA (and press Enter) if you prefer not to answer</b>,na,box,,,.png,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,
instructions,na,The Experiment,"The following experiment consists of <b> two </b> main activities. <br>During the first part, you will be asked to provide estimates of reciprocation likelihood (this will be explained in details in the following pages) regarding the stimuli you will be presented. These will either be a human face or a brand. <br>In the second part of the experiment you will play the Ultimatum Game paradigm. Detailed instructions on how to perform the different tasks will be given to you in the following sections. Overall, the experiment will last around 25 minutes. It is greatly important for you to maintain your focus on the task.  ",na,,,,,,Continue,,,,,,,,,,,,,,,,,,
practice,na,na,na,"<b>Part 1: The Trust Game </b> <br> <i>The goal of this trial is to guess how people and brands would act if they were to play a social game with you. We will explain the ""Trust Game"" in the next page. Here is an example of the people and brands you will have to guess about. ",,AF05NES,AM06NES,AB03,.jpg,Continue,na,na,na,na,na,na,na,na,na,na,,,,,,,,
instructions,na,What is a Trust Game ,"In a Trust Game there are two players: an investor and a trustee. When the game starts, a sum of money is allocated to the investor who can decide whether or not to invest their money. If the investor decides to invest their money, the amount of money is multiplied by 4 and the trustee receives 4 times the initial amount of money. Once the trustee has received the money, they need to make the final decision: <br>1. to reciprocate half the money <br>2. to keep it all for themselves.<b><br>Example</b>: the investor is given 10£. If they decide to trust the other person, they will invest their money and the 10£ will be multiplied by 4 so the trustee will receive 40£. At this stage, the trustee can either decide to keep everything (40£) and the investor gets nothing, or he can decide to split it equally and they would both get £20. ",na,na,na,na,,na,Continue,,,,,,,,,,,,,,,,,,
instructions,na,What is a Trust Game ,"Your goal is to guess how these people and brands would play the role of trustee if you were the investor sending the money. Thus, your task is to watch briefly their face or logo and tell us how likely they are to reciprocate half of the money received from you (<i>reciprocation likelihood </i>). <br> <br> Express your rating chosing how much you would trust the shown stimuli by pressing a button on a scale from 0 to 100, where 0 means you would not trust them at all and 100 means you would completely trust them. <br>When you are confident about the task and ready to proceed to the practice trial press the button below. <br><br><b>NOTE:</b> the next few trials are a practice to get you used to the task. When the practice is over and the actual experiment begins, you will be notified. ",na,na,,,,,Begin Practice,,,,,,,,,,,,,,,,,,
practice,1,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF01NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,,,
practice,2,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF02NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,,,
practice,3,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB01,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,,,
practice,4,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM01NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,,,
practice,5,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB02,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,,,
instructions,na,Start of the First Block,"<br><br>Now that you practiced with the task you are ready to proceed to the actual experiment. Please do not overthink your answers and respond to each trial carefully. <br>The current block consists of 50 trials, divided into two 25 trials blocks. Therefore, after the first 25 trials you will be able to take a brief brake before completing the experiment. Make sure you you DO NOT close your browser until you are instructed to do so, in order to avoid loss of data. <br><br>Press the button below when you are ready to begin the experiment. ",na,,na,,,na,Begin Experiment,,,,,,,,,,,na,na,,,,,,
test,1,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF01NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,2,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF02NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,3,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF03NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,4,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF04NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
test,5,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF05NES,,,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,,,,trust,human,
