completionCode
KkVNMpWrbazKVA8x

type,trialNo,title,content,trialText,trialTextPos,stim1,stim2,stim3,stimFormat,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,random,randomBlock,key,feedbackCorrect,feedbackIncorrect,game,stim_type,offer,orderPres,orderFile,timestamp,response,RT,RTkeys,correct
test,na,Participant Age,na,<b>Please enter your age and press Enter to move on. <br>Type NA (and press Enter) if you prefer not to answer<br><br> Please note that this experiment is for people 16 and over only.<br>If you are younger than 16 please close the browser now</b>,na,box,na,na,.png,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,1,1,43194,23,9255,4956;5038,0
test,na,Participant Sex,na,<b>Please enter your biological sex and press Enter to move on.<br>Type NA (and press Enter) if you prefer not to answer</b>,na,box,na,na,.png,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,2,2,46454,male,3254,2581;2794;2919;3044,0
test,na,Participant Nationality,na,<b>Please enter your Nationality and press Enter to move on.<br>Type NA (and press Enter) if you prefer not to answer</b>,na,box,na,na,.png,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,3,3,51199,Scottish,4739,1700;2687;2940;3038;3325;3488;3673;3817;4547,0
test,22,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB09,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,4,25,118578,2,2727,,0
test,16,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB03,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,5,19,120290,1,1708,,0
test,13,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM06NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,6,16,122712,11,2417,,0
test,2,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF02NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,7,5,123331,11,615,,0
test,21,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB08,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,8,24,125111,1,1776,,0
test,24,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB11,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,9,27,126165,1,1050,,0
test,3,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF03NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,10,6,127847,11,1678,,0
test,5,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF05NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,11,8,128782,11,931,,0
test,10,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM03NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,12,13,129421,11,634,,0
test,20,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB07,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,13,23,131298,1,1873,,0
test,4,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF04NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,14,7,132822,11,1520,,0
test,12,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM05NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,15,15,133746,11,920,,0
test,11,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM04NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,16,14,134436,11,686,,0
test,15,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB02,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,17,18,135918,1,1478,,0
test,23,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB10,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,18,26,136735,1,813,,0
test,19,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB06,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,19,22,137453,1,710,,0
test,14,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB01,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,20,17,138024,1,566,,0
test,6,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF06NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,21,9,139753,11,1725,,0
test,18,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB05,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,22,21,141294,1,1536,,0
test,17,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB04,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,23,20,141928,1,630,,0
test,1,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF01NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,24,4,143078,11,1146,,0
test,7,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF07NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,25,10,143593,11,511,,0
test,8,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM01NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,26,11,144172,11,574,,0
