completionCode
XjfvGhWyi3wFYAvr

type,trialNo,title,content,trialText,trialTextPos,stim1,stim2,stim3,stimFormat,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,random,randomBlock,key,feedbackCorrect,feedbackIncorrect,game,stim_type,offer,orderPres,orderFile,timestamp,response,RT,RTkeys,correct
test,na,Participant Age,na,<b>Please enter your age and press Enter to move on. <br>Type NA (and press Enter) if you prefer not to answer<br><br> Please note that this experiment is for people 16 and over only.<br>If you are younger than 16 please close the browser now</b>,na,box,na,na,.png,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,1,1,154130,18,7919,6165;6294,0
test,na,Participant Sex,na,<b>Please enter your biological sex and press Enter to move on.<br>Type NA (and press Enter) if you prefer not to answer</b>,na,box,na,na,.png,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,2,2,160643,Male,6509,4955;5081;5229;5363,0
test,na,Participant Nationality,na,<b>Please enter your Nationality and press Enter to move on.<br>Type NA (and press Enter) if you prefer not to answer</b>,na,box,na,na,.png,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,3,3,165013,Italian,4366,2737;2955;3080;3350;3526;3664;3766,0
test,17,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB04,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,4,20,364084,4,3541,,0
test,4,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF04NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,5,7,367107,3,3020,,0
test,2,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF02NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,6,5,368652,8,1542,,0
test,18,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB05,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,7,21,370980,7,2324,,0
test,22,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB09,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,8,25,372944,2,1962,,0
test,15,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB02,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,9,18,374515,8,1568,,0
test,9,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM02NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,10,12,376763,4,2245,,0
test,3,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF03NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,11,6,378500,7,1734,,0
