completionCode
9WwRnSmmxBRCnBgC

type,trialNo,title,content,trialText,trialTextPos,stim1,stim2,stim3,stimFormat,button1,button2,button3,button4,button5,button6,button7,button8,button9,button10,button11,random,randomBlock,key,feedbackCorrect,feedbackIncorrect,game,stim_type,offer,orderPres,orderFile,timestamp,response,RT,RTkeys,correct
test,na,Participant Age,na,<b>Please enter your age and press Enter to move on. <br>Type NA (and press Enter) if you prefer not to answer<br><br> Please note that this experiment is for people 16 and over only.<br>If you are younger than 16 please close the browser now</b>,na,box,na,na,.png,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,1,1,89969,22,5464,4845;5033,0
test,na,Participant Sex,na,<b>Please enter your biological sex and press Enter to move on.<br>Type NA (and press Enter) if you prefer not to answer</b>,na,box,na,na,.png,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,2,2,96113,female,6140,3133;3261;3380;3556;3820;4533;4653,0
test,na,Participant Nationality,na,<b>Please enter your Nationality and press Enter to move on.<br>Type NA (and press Enter) if you prefer not to answer</b>,na,box,na,na,.png,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,3,3,101601,Bulgarian,5485,2422;3422;3645;3870;4246;4390;4518;4678;4830;4990,0
test,12,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM05NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,4,15,289447,8,2806,,0
test,4,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AF04NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,5,7,291400,7,1950,,0
test,25,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB12,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,6,28,293503,9,2099,,0
test,8,na,na,<i>How likely do you think is this person to reciprocate half of the share?,above,AM01NES,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,human,na,7,11,295216,7,1711,,0
test,15,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB02,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,8,18,296687,9,1467,,0
test,20,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB07,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,9,23,299800,7,3110,,0
test,22,na,na,<i>How likely do you think is this brand to reciprocate half of the share?,above,AB09,na,na,.jpg,0,10,20,30,40,50,60,70,80,90,100,1,1,na,na,na,trust,brand,na,10,25,302079,9,2276,,0
